City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
397,januaria,-15.4833,-44.3667,20.95,97,91,0.91,BR,2024-01-30 23:59:45-05:00
398,klimovo,52.3805,32.1923,-4.6,89,96,3.36,RU,2024-01-30 23:59:46-05:00
399,silvia,2.611,-76.3785,11.58,94,81,1.99,CO,2024-01-30 23:59:46-05:00
400,tamanrasset,22.785,5.5228,9.95,43,0,9.26,DZ,2024-01-30 23:59:47-05:00
401,kirensk,57.7853,108.1119,-29.46,94,42,1.34,RU,2024-01-30 23:59:47-05:00
402,port-vila,-17.7338,168.3219,28.78,74,75,2.57,VU,2024-01-30 23:59:48-05:00
403,howard springs,-12.497,131.047,34.43,75,76,4.74,AU,2024-01-30 23:59:48-05:00
404,zaysan,47.4667,84.8667,-13.01,94,89,0.87,KZ,2024-01-30 23:59:49-05:00
405,charters towers,-20.1,146.2667,35.85,40,86,2.57,AU,2024-01-30 23:59:49-05:00
406,yarmouth,41.7057,-70.2286,-2.24,78,100,2.24,US,2024-01-30 23:59:49-05:00
407,pangody,65.85,74.4859,-22.73,95,15,6.01,RU,2024-01-30 23:59:50-05:00
408,gereida,11.2811,25.1414,15.73,22,49,5.4,SD,2024-01-30 23:59:50-05:00
409,saint-philippe,-21.3585,55.7679,29.77,81,54,3.8,RE,2024-01-30 23:59:51-05:00
410,homer,59.6425,-151.5483,-11.07,78,100,0.0,US,2024-01-30 23:59:51-05:00
411,daund,18.4667,74.6,25.77,34,56,2.05,IN,2024-01-30 23:59:52-05:00
412,nukus,42.4531,59.6103,-8.01,86,0,4.12,UZ,2024-01-30 23:59:52-05:00
413,tupaciguara,-18.5922,-48.705,23.18,40,100,1.02,BR,2024-01-30 23:59:52-05:00
414,nilsia,63.2,28.0833,0.63,98,100,3.65,FI,2024-01-30 23:59:53-05:00
415,al majaridah,19.1236,41.9111,22.94,75,100,1.24,SA,2024-01-30 23:59:53-05:00
416,alpine,32.835,-116.7664,14.82,60,69,0.65,US,2024-01-30 23:55:31-05:00
417,ilhabela,-23.7781,-45.3581,24.25,81,100,1.38,BR,2024-01-30 23:59:54-05:00
418,nova vicosa,-17.8919,-39.3719,24.95,90,100,4.42,BR,2024-01-30 23:59:55-05:00
419,mogadishu,2.0371,45.3438,26.71,75,76,7.1,SO,2024-01-30 23:59:55-05:00
420,port douglas,-16.4833,145.4667,31.3,71,100,3.07,AU,2024-01-30 23:59:55-05:00
421,nakamura,32.9833,132.9333,12.75,91,100,2.21,JP,2024-01-30 23:59:56-05:00
422,robertsport,6.7533,-11.3686,27.06,82,71,1.79,LR,2024-01-30 23:59:57-05:00
423,ambovombe,-25.1667,46.0833,24.87,75,88,7.42,MG,2024-01-30 23:59:57-05:00
424,tambura,5.6,27.4667,20.5,30,94,2.28,SS,2024-01-30 23:59:58-05:00
425,holualoa,19.6228,-155.9522,22.65,96,50,0.45,US,2024-01-30 23:59:58-05:00
426,namdrik,5.5994,168.1028,27.6,83,100,8.48,MH,2024-01-30 23:59:58-05:00
427,takamatsu,34.3403,134.0433,11.16,76,75,2.57,JP,2024-01-30 23:59:59-05:00
428,chazuta,-6.5742,-76.1367,25.28,84,100,0.09,PE,2024-01-31 00:00:00-05:00
429,manokwari,-0.8667,134.0833,28.28,74,92,1.95,ID,2024-01-30 23:56:13-05:00
430,dubinino,55.6192,89.0911,-14.4,87,75,1.44,RU,2024-01-31 00:00:03-05:00
431,shanghai,31.2222,121.4581,12.18,93,100,2.0,CN,2024-01-30 23:54:12-05:00
432,agat village,13.3886,144.6585,29.52,61,0,10.29,GU,2024-01-30 23:56:40-05:00
433,imperatriz,-5.5264,-47.4917,25.03,94,0,1.03,BR,2024-01-31 00:00:12-05:00
434,smirnykh,49.75,142.8333,-12.3,76,82,1.48,RU,2024-01-31 00:00:13-05:00
435,sola,-13.8833,167.55,28.61,68,99,3.24,VU,2024-01-31 00:00:14-05:00
436,polyarnyy,69.1989,33.4478,0.05,72,100,14.82,RU,2024-01-31 00:00:15-05:00
437,zaragoza,41.6561,-0.8773,10.82,81,100,3.09,ES,2024-01-30 23:54:06-05:00
438,belmonte,-15.8631,-38.8828,23.43,93,19,1.25,BR,2024-01-31 00:00:17-05:00
439,bafoulabe,13.8065,-10.8321,22.75,14,96,1.37,ML,2024-01-31 00:00:18-05:00
440,inyonga,-6.7167,32.0667,18.52,94,95,1.17,TZ,2024-01-31 00:00:19-05:00
441,ghanzi,-21.5667,21.7833,21.0,83,100,2.79,BW,2024-01-31 00:00:20-05:00
442,thames,-37.1333,175.5333,22.7,71,56,3.2,NZ,2024-01-31 00:00:21-05:00
443,acarau,-2.8856,-40.12,25.93,86,6,3.13,BR,2024-01-30 23:57:49-05:00
444,viedma,-40.8135,-62.9967,23.27,67,1,3.51,AR,2024-01-31 00:00:22-05:00
445,kangaba,11.9333,-8.4167,21.7,18,84,2.89,ML,2024-01-31 00:00:23-05:00
446,saltpond,5.2091,-1.0606,24.32,90,7,1.94,GH,2024-01-31 00:00:24-05:00
447,vidigueira,38.1845,-7.7447,9.87,84,81,1.81,PT,2024-01-31 00:00:25-05:00
448,mangochi,-14.4782,35.2645,22.39,76,12,2.51,MW,2024-01-31 00:00:26-05:00
449,amalapuram,16.5833,82.0167,28.14,47,15,1.53,IN,2024-01-31 00:00:27-05:00
450,murzuq,25.9155,13.9184,6.26,67,0,4.34,LY,2024-01-31 00:00:28-05:00
451,hailin,44.5833,129.4167,-13.42,73,75,6.77,CN,2024-01-31 00:00:29-05:00
452,tarauaca,-8.1614,-70.7656,23.73,97,100,0.51,BR,2024-01-31 00:00:30-05:00
453,monrovia,6.3005,-10.7969,26.32,83,69,1.68,LR,2024-01-31 00:00:13-05:00
454,ta`u,-14.2336,-169.5144,29.17,72,93,2.47,AS,2024-01-31 00:00:31-05:00
455,seaside,36.6111,-121.8516,13.97,89,0,2.06,US,2024-01-31 00:00:08-05:00
456,mount isa,-20.7333,139.5,26.87,83,100,7.2,AU,2024-01-31 00:00:33-05:00
457,kenai,60.5544,-151.2583,-21.06,82,20,0.0,US,2024-01-31 00:00:33-05:00
458,vernon,50.2581,-119.2691,7.01,93,100,3.09,CA,2024-01-31 00:00:34-05:00
459,mendaha,-1.0333,103.5833,30.97,59,85,2.46,ID,2024-01-31 00:00:36-05:00
460,east london,-33.0153,27.9116,22.52,88,0,2.57,ZA,2024-01-31 00:00:37-05:00
461,tofol,5.3248,163.0078,30.88,70,75,3.6,FM,2024-01-31 00:00:38-05:00
462,barhi,23.9,80.8,20.83,35,100,2.78,IN,2024-01-31 00:00:38-05:00
463,aral,40.5156,81.2636,-0.24,41,100,1.55,CN,2024-01-31 00:00:39-05:00
464,kamaishi,39.2667,141.8833,9.26,59,72,5.76,JP,2024-01-31 00:00:40-05:00
465,le krib,36.328,9.1361,0.84,83,8,0.92,TN,2024-01-31 00:00:41-05:00
466,kailua-kona,19.6406,-155.9956,25.98,92,100,4.12,US,2024-01-30 23:56:22-05:00
467,port isabel,26.0734,-97.2086,17.23,84,100,2.75,US,2024-01-31 00:00:13-05:00
468,high springs,29.8269,-82.5968,9.1,85,69,0.89,US,2024-01-31 00:00:42-05:00
469,zolotonosha,49.6689,32.0377,0.01,67,82,2.76,UA,2024-01-31 00:00:42-05:00
470,emerald,-23.5333,148.1667,31.3,67,85,4.23,AU,2024-01-30 23:57:12-05:00
471,iskushuban,10.2837,50.23,22.45,66,5,1.29,SO,2024-01-31 00:00:51-05:00
472,cambria,35.5641,-121.0808,13.76,96,59,1.92,US,2024-01-31 00:00:52-05:00
473,port saint john's,-31.6229,29.5448,23.62,86,67,5.0,ZA,2024-01-31 00:00:52-05:00
474,trabia,38.0065,13.6336,8.97,68,0,2.12,IT,2024-01-31 00:00:53-05:00
475,kievka,50.2619,71.5514,-8.47,96,88,3.97,KZ,2024-01-31 00:00:53-05:00
476,pacasmayo,-7.4006,-79.5714,22.92,89,85,4.4,PE,2024-01-31 00:00:54-05:00
477,port blair,11.6667,92.75,30.02,70,75,4.12,IN,2024-01-31 00:01:01-05:00
478,sanming,26.2486,117.6186,24.5,65,61,0.8,CN,2024-01-31 00:01:04-05:00
479,karachev,53.1229,34.9852,-4.16,92,100,2.4,RU,2024-01-31 00:01:07-05:00
480,narra,9.3167,118.4,30.84,61,68,3.14,PH,2024-01-31 00:01:07-05:00
481,oamaru,-45.0784,170.9801,19.1,76,59,5.39,NZ,2024-01-31 00:01:08-05:00
482,hami,42.8,93.45,-0.95,56,100,3.42,CN,2024-01-31 00:01:08-05:00
483,idri,27.5,13.2667,6.42,72,0,3.94,LY,2024-01-31 00:01:09-05:00
484,umm kaddadah,13.6017,26.6876,14.03,29,49,7.02,SD,2024-01-31 00:01:09-05:00
485,micheweni,-4.9667,39.8333,27.95,76,100,5.56,TZ,2024-01-31 00:01:10-05:00
486,sumbawa besar,-8.5,117.4333,30.47,69,100,2.53,ID,2024-01-31 00:01:10-05:00
487,beykonak,36.3257,30.303,9.22,59,99,2.55,TR,2024-01-31 00:01:16-05:00
488,mount gambier,-37.8333,140.7667,21.93,47,4,4.36,AU,2024-01-31 00:01:19-05:00
489,rzhev,56.2624,34.3282,-3.72,95,100,2.5,RU,2024-01-31 00:01:22-05:00
490,uliastay,47.7417,96.8444,-10.78,65,95,1.29,MN,2024-01-31 00:01:22-05:00
491,caconda,-13.7333,15.0667,15.69,96,100,0.42,AO,2024-01-31 00:01:23-05:00
492,marka,1.7159,44.7717,26.99,73,58,7.28,SO,2024-01-31 00:01:24-05:00
493,yaren,-0.5472,166.916,28.87,73,100,4.52,NR,2024-01-31 00:01:25-05:00
494,sanchursk,56.9413,47.2499,-8.23,93,7,3.2,RU,2024-01-31 00:01:25-05:00
495,pakxan,18.3778,103.6601,32.18,45,80,1.71,LA,2024-01-31 00:01:26-05:00
496,tokoroa,-38.2333,175.8667,25.48,46,63,2.78,NZ,2024-01-31 00:01:27-05:00
497,changchun,43.88,125.3228,-15.02,76,64,4.33,CN,2024-01-30 23:54:28-05:00
498,sao desiderio,-12.3633,-44.9733,21.46,92,78,0.42,BR,2024-01-31 00:01:28-05:00
499,menongue,-14.6585,17.691,17.05,95,99,0.39,AO,2024-01-31 00:01:29-05:00
500,salalah,17.0151,54.0924,24.05,78,72,0.69,OM,2024-01-30 23:59:48-05:00
501,malango,-2.9627,119.9001,26.07,84,87,0.81,ID,2024-01-31 00:01:31-05:00
502,siwa oasis,29.2041,25.5195,8.2,79,31,4.88,EG,2024-01-31 00:01:31-05:00
503,guixi,28.2886,117.2133,20.15,75,40,1.82,CN,2024-01-31 00:01:32-05:00
504,walvis bay,-22.9575,14.5053,17.53,94,100,2.06,NA,2024-01-31 00:01:33-05:00
505,sur,22.5667,59.5289,25.37,60,100,1.18,OM,2024-01-31 00:01:34-05:00
506,puerto aysen,-45.4,-72.7,14.06,99,100,2.18,CL,2024-01-31 00:01:35-05:00
